#,Company Name,Owner/Manager Name,Email,Phone,City,State,Website,Source,Batch,Date Sent,Email Opened,Video Watched,Responded,Response Date,Sentiment,Key Objection,Our Response,Next Step,Call Scheduled,Call Date,Call Notes,Willing to Beta,Follow-up Date,Final Status,Notes
1,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
